id_node	sensor	timestamp	valor_v
AQM60	PM10	2017-05-11 06:17:17	60386
AQM60	PM10	2017-05-11 06:19:17	59138
AQM60	PM10	2017-05-11 06:21:17	57,4
AQM60	PM10	2017-05-11 06:23:17	58136
AQM60	PM10	2017-05-11 06:25:17	59048
AQM60	PM10	2017-05-11 06:27:17	60243
AQM60	PM10	2017-05-11 06:29:17	59572
AQM60	PM10	2017-05-11 06:31:17	61538
AQM60	PM10	2017-05-11 06:33:17	63009
AQM60	PM10	2017-05-11 06:35:17	63344
AQM60	PM10	2017-05-11 06:37:17	64258
AQM60	PM10	2017-05-11 06:39:17	63782
AQM60	PM10	2017-05-11 06:41:17	64069
AQM60	PM10	2017-05-11 06:43:17	65349
AQM60	PM10	2017-05-11 06:45:17	66458
AQM60	PM10	2017-05-11 06:47:17	63504
AQM60	PM10	2017-05-11 06:49:17	61115
AQM60	PM10	2017-05-11 06:51:17	62845
AQM60	PM10	2017-05-11 06:53:17	62526
AQM60	PM10	2017-05-11 06:55:17	62539
AQM60	PM10	2017-05-11 06:57:17	61375
AQM60	PM10	2017-05-11 06:59:17	56388
AQM60	PM10	2017-05-11 07:01:17	55,51
AQM60	PM10	2017-05-11 07:03:17	49778
AQM60	PM10	2017-05-11 07:06:58	52747
AQM60	PM10	2017-05-11 07:08:58	49434
AQM60	PM10	2017-05-11 07:10:58	52219
AQM60	PM10	2017-05-11 07:12:58	52002
AQM60	PM10	2017-05-11 07:14:58	49563
AQM60	PM10	2017-05-11 07:16:58	52,65
AQM60	PM10	2017-05-11 07:18:58	61,06
AQM60	PM10	2017-05-11 07:20:58	65404
AQM60	PM10	2017-05-11 07:22:58	65881
AQM60	PM10	2017-05-11 07:24:58	65859
AQM60	PM10	2017-05-11 07:26:58	67312
AQM60	PM10	2017-05-11 07:28:58	56099
AQM60	PM10	2017-05-11 07:30:58	45598
AQM60	PM10	2017-05-11 07:32:58	54944
AQM60	PM10	2017-05-11 07:34:58	61846
AQM60	PM10	2017-05-11 07:36:58	58496
AQM60	PM10	2017-05-11 07:38:58	49884
AQM60	PM10	2017-05-11 07:40:58	57302
AQM60	PM10	2017-05-11 07:42:58	68819
AQM60	PM10	2017-05-11 07:44:58	65687
AQM60	PM10	2017-05-11 07:46:58	65094
AQM60	PM10	2017-05-11 07:48:58	62,87
AQM60	PM10	2017-05-11 07:50:58	65741
AQM60	PM10	2017-05-11 07:52:58	64187
AQM60	PM10	2017-05-11 07:54:58	62358
AQM60	PM10	2017-05-11 07:56:58	61443
AQM60	PM10	2017-05-11 07:58:58	62345
AQM60	PM10	2017-05-11 08:00:58	61,47
AQM60	PM10	2017-05-11 08:02:58	58371
AQM60	PM10	2017-05-11 08:04:58	58,65
AQM60	PM10	2017-05-11 08:07:16	64105
AQM60	PM10	2017-05-11 08:09:16	60754
AQM60	PM10	2017-05-11 08:11:16	53189
AQM60	PM10	2017-05-11 08:13:16	61416
AQM60	PM10	2017-05-11 08:15:16	58681
AQM60	PM10	2017-05-11 08:17:16	56,54
AQM60	PM10	2017-05-11 08:19:16	53417
AQM60	PM10	2017-05-11 08:21:16	60824
AQM60	PM10	2017-05-11 08:23:16	68388
AQM60	PM10	2017-05-11 08:25:16	62189
AQM60	PM10	2017-05-11 08:27:16	57416
AQM60	PM10	2017-05-11 08:29:16	61362
AQM60	PM10	2017-05-11 08:31:16	60977
AQM60	PM10	2017-05-11 08:33:16	58896
AQM60	PM10	2017-05-11 08:35:16	57056
AQM60	PM10	2017-05-11 08:37:16	62552
AQM60	PM10	2017-05-11 08:39:16	66,51
AQM60	PM10	2017-05-11 08:41:16	63,43
AQM60	PM10	2017-05-11 08:43:16	55492
AQM60	PM10	2017-05-11 08:45:16	54583
AQM60	PM10	2017-05-11 08:47:16	56641
AQM60	PM10	2017-05-11 08:49:16	47,18
AQM60	PM10	2017-05-11 08:52:56	39232
AQM60	PM10	2017-05-11 08:54:56	45307
AQM60	PM10	2017-05-11 08:56:56	40407
AQM60	PM10	2017-05-11 08:58:56	43,64
AQM60	PM10	2017-05-11 09:00:56	46078
AQM60	PM10	2017-05-11 09:02:56	54638
AQM60	PM10	2017-05-11 09:04:56	58773
AQM60	PM10	2017-05-11 09:06:59	60,07
AQM60	PM10	2017-05-11 09:08:59	73268
AQM60	PM10	2017-05-11 09:10:59	69661
AQM60	PM10	2017-05-11 09:12:59	69366
AQM60	PM10	2017-05-11 09:14:59	66188
AQM60	PM10	2017-05-11 09:16:59	64057
AQM60	PM10	2017-05-11 09:18:59	60963
AQM60	PM10	2017-05-11 09:20:59	62371
AQM60	PM10	2017-05-11 09:22:59	68632
AQM60	PM10	2017-05-11 09:24:59	65546
AQM60	PM10	2017-05-11 09:26:59	62397
AQM60	PM10	2017-05-11 09:28:59	64409
AQM60	PM10	2017-05-11 09:30:59	68,37
AQM60	PM10	2017-05-11 09:32:59	66875
AQM60	PM10	2017-05-11 09:34:59	65655
AQM60	PM10	2017-05-11 09:36:59	67026
AQM60	PM10	2017-05-11 09:38:59	64812
AQM60	PM10	2017-05-11 09:40:59	66956
AQM60	PM10	2017-05-11 09:42:59	69408
AQM60	PM10	2017-05-11 09:45:52	69769
AQM60	PM10	2017-05-11 09:47:52	71775
AQM60	PM10	2017-05-11 09:49:52	73759
AQM60	PM10	2017-05-11 09:51:52	74575
AQM60	PM10	2017-05-11 09:53:52	77246
AQM60	PM10	2017-05-11 09:55:52	76601
AQM60	PM10	2017-05-11 09:57:52	77194
AQM60	PM10	2017-05-11 09:59:52	76762
AQM60	PM10	2017-05-11 10:01:52	78678
AQM60	PM10	2017-05-11 10:03:52	78973
AQM60	PM10	2017-05-11 10:07:09	79572
AQM60	PM10	2017-05-11 10:09:09	79144
AQM60	PM10	2017-05-11 10:11:09	77113
AQM60	PM10	2017-05-11 10:13:09	78265
AQM60	PM10	2017-05-11 10:15:09	79046
AQM60	PM10	2017-05-11 10:17:09	80511
AQM60	PM10	2017-05-11 10:19:09	81464
AQM60	PM10	2017-05-11 10:21:09	80392
AQM60	PM10	2017-05-11 10:23:09	79204
AQM60	PM10	2017-05-11 10:25:09	79501
AQM60	PM10	2017-05-11 10:27:09	81223
AQM60	PM10	2017-05-11 10:29:09	82987
AQM60	PM10	2017-05-11 10:31:09	82295
AQM60	PM10	2017-05-11 10:33:09	84562
AQM60	PM10	2017-05-11 10:35:09	85064
AQM60	PM10	2017-05-11 10:37:09	85376
AQM60	PM10	2017-05-11 10:39:09	86501
AQM60	PM10	2017-05-11 10:41:09	86,47
AQM60	PM10	2017-05-11 10:43:09	83704
AQM60	PM10	2017-05-11 10:45:09	82786
AQM60	PM10	2017-05-11 10:47:09	80905
AQM60	PM10	2017-05-11 10:49:09	77312
AQM60	PM10	2017-05-11 10:51:09	70573
AQM60	PM10	2017-05-11 10:53:09	58635
AQM60	PM10	2017-05-11 10:55:09	53718
AQM60	PM10	2017-05-11 10:57:09	48068
AQM60	PM10	2017-05-11 10:59:09	49778
AQM60	PM10	2017-05-11 11:01:09	47729
AQM60	PM10	2017-05-11 11:03:09	45815
AQM60	PM10	2017-05-11 11:07:00	45259
AQM60	PM10	2017-05-11 11:09:00	46,03
AQM60	PM10	2017-05-11 11:11:00	50848
AQM60	PM10	2017-05-11 11:13:00	49304
AQM60	PM10	2017-05-11 11:15:00	49326
AQM60	PM10	2017-05-11 11:17:00	47,57
AQM60	PM10	2017-05-11 11:19:00	47087
AQM60	PM10	2017-05-11 11:21:00	49434
AQM60	PM10	2017-05-11 11:23:00	47295
AQM60	PM10	2017-05-11 11:25:00	44271
AQM60	PM10	2017-05-11 11:27:00	42791
AQM60	PM10	2017-05-11 11:29:00	40873
AQM60	PM10	2017-05-11 11:31:00	41226
AQM60	PM10	2017-05-11 11:33:00	48802
AQM60	PM10	2017-05-11 11:35:00	44644
AQM60	PM10	2017-05-11 11:37:00	36871
AQM60	PM10	2017-05-11 11:39:00	44446
AQM60	PM10	2017-05-11 11:41:00	44,12
AQM60	PM10	2017-05-11 11:43:00	50412
AQM60	PM10	2017-05-11 11:45:00	47775
AQM60	PM10	2017-05-11 11:47:00	43076
AQM60	PM10	2017-05-11 11:49:00	41145
AQM60	PM10	2017-05-11 11:51:00	45161
AQM60	PM10	2017-05-11 11:53:00	45719
AQM60	PM10	2017-05-11 11:55:00	38603
AQM60	PM10	2017-05-11 11:57:00	31,92
AQM60	PM10	2017-05-11 11:59:00	35811
AQM60	PM10	2017-05-11 12:01:00	39655
AQM60	PM10	2017-05-11 12:03:00	40654
AQM60	PM10	2017-05-11 12:05:00	52,63
AQM60	PM10	2017-05-11 12:07:16	47249
AQM60	PM10	2017-05-11 12:09:16	32612
AQM60	PM10	2017-05-11 12:11:16	37436
AQM60	PM10	2017-05-11 12:13:16	24256
AQM60	PM10	2017-05-11 12:15:16	24826
AQM60	PM10	2017-05-11 12:17:16	23409
AQM60	PM10	2017-05-11 12:19:16	22037
AQM60	PM10	2017-05-11 12:21:16	24598
AQM60	PM10	2017-05-11 12:23:16	29923
AQM60	PM10	2017-05-11 12:25:16	24332
AQM60	PM10	2017-05-11 12:27:16	21158
